disease,main_link,Diagnosis_treatment_link,Doctors_departments_link
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/diagnosis-treatment/drc-20350630,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/doctors-departments/ddc-20350632
Hyperhidrosis,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/diagnosis-treatment/drc-20367173,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/doctors-departments/ddc-20367288
Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/diagnosis-treatment/drc-20369981,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/doctors-departments/ddc-20369982
Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/diagnosis-treatment/drc-20351412,
Hidradenitis suppurativa,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/diagnosis-treatment/drc-20352311,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/doctors-departments/ddc-20352315
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,https://www.mayoclinic.org/diseases-conditions/kidney-failure/doctors-departments/ddc-20369054
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117
