disease,main_link,Diagnosis_treatment_link,Doctors_departments_link,Diagnosis,Treatment,Coping and support,Preparing for your appointment
Atrial fibrillation,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/symptoms-causes/syc-20350624,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/diagnosis-treatment/drc-20350630,https://www.mayoclinic.org/diseases-conditions/atrial-fibrillation/doctors-departments/ddc-20350632,"You may not know you have atrial fibrillation (AFib). The condition may be found when a health checkup is done for another reason.
To diagnoseAFib, the health care provider examines you and asks questions about your medical history and symptoms. Tests may be done to look for conditions that can cause irregular heartbeats, such as heart disease or thyroid disease.","The goals of atrial fibrillation treatment are to reset and control the heartbeat and prevent blood clots.
Treatment depends on:
How long you've hadAFib.
Your symptoms.
The cause of the irregular heartbeat.
Atrial fibrillation treatment may involve:
Medicine.
Therapy to reset the heart rhythm, called cardioversion.
Surgery or catheter procedures.
Together, you and your health care team discuss the best treatment option for you. It's important to follow your atrial fibrillation treatment plan. IfAFibisn't well controlled, it may lead to other complications, including stroke and heart failure.",,"If you have an irregular or pounding heartbeat, make an appointment for a health checkup. IfAFibis found early, treatment may be easier, and it may work better. You may be referred to a doctor trained in heart diseases. This type of provider is called a cardiologist.
Here's some information to help you prepare for your appointment."
Hyperhidrosis,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/symptoms-causes/syc-20367152,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/diagnosis-treatment/drc-20367173,https://www.mayoclinic.org/diseases-conditions/hyperhidrosis/doctors-departments/ddc-20367288,Diagnosing hyperhidrosis may start with your health care provider asking about your medical history and symptoms. You may also need a physical exam or tests to further evaluate the cause of your symptoms.,"Treating hyperhidrosis may start with treating the condition causing it. If a cause isn't found, treatment focuses on controlling heavy sweating. If new self-care habits don't improve your symptoms, your health care provider may suggest one or more of the following treatments. Even if your sweating improves after treatment, it may recur.","Hyperhidrosis can be the cause of discomfort and embarrassment. You may have trouble working or enjoying recreational activities because of wet hands or feet or wet stains on clothing. You might feel anxious about your symptoms and become withdrawn or self-conscious. You may be frustrated or upset by other people's reactions.
Talk about your concerns with your health care provider, a counselor or a medical social worker. Or you may find it helpful to talk with other people who have hyperhidrosis.","You may start by seeing your primary care provider. You may then be referred to a specialist in diagnosing and treating conditions of the hair and skin (dermatologist). If your condition is not responding to treatment, you may be referred to a specialist in the nervous system (neurologist) or a surgeon.
Here's some information to help you get ready for your appointment."
Bartholin's cyst,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/symptoms-causes/syc-20369976,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/diagnosis-treatment/drc-20369981,https://www.mayoclinic.org/diseases-conditions/bartholin-cyst/doctors-departments/ddc-20369982,"To diagnose a Bartholin's cyst, your doctor may:

If cancer is a concern, your doctor may refer you to a gynecologist who specializes in cancers of the female reproductive system.","Often a Bartholin's cyst requires no treatment — especially if the cyst causes no signs or symptoms. When needed, treatment depends on the size of the cyst, your discomfort level and whether it's infected, which can result in an abscess.

Treatment options your doctor may recommend include:

Surgical drainage.You may need surgery to drain a cyst that's infected or very large. Drainage of a cyst can be done using local anesthesia or sedation.

For the procedure, your doctor makes a small incision in the cyst, allows it to drain, and then places a small rubber tube (catheter) in the incision. The catheter stays in place for up to six weeks to keep the incision open and allow complete drainage.

Rarely, for persistent cysts that aren't effectively treated by the above procedures, your doctor may recommend surgery to remove the Bartholin's gland. Surgical removal is usually done in a hospital under general anesthesia. Surgical removal of the gland carries a greater risk of bleeding or complications after the procedure.",,Your first appointment will likely be with either your primary care provider or a doctor who specializes in conditions that affect women (gynecologist).
Infant reflux,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/symptoms-causes/syc-20351408,https://www.mayoclinic.org/diseases-conditions/infant-acid-reflux/diagnosis-treatment/drc-20351412,,"To diagnose infant reflux, a healthcare professional typically starts with a physical exam and asks questions about a baby's symptoms. If a baby is growing as expected and seems content, then testing usually isn't needed. In some cases, however, a healthcare professional might recommend:
Ultrasound.This imaging test can detect pyloric stenosis.
Lab tests.Blood and urine tests can help find or rule out possible causes of poor weight gain and vomiting that happens often.
Esophageal pH monitoring.To measure the acidity in a baby's esophagus, the health professional places a thin tube through the baby's nose or mouth and into the esophagus. The tube is attached to a device that monitors acidity. A baby might need to stay in the hospital while being monitored.
X-rays.These images can detect problems in the digestive tract, such as a blockage. A baby may be given a contrast liquid with a bottle before the test. This liquid is usually barium.
Upper endoscopy.An upper endoscopy uses a tiny camera on the end of a flexible tube called an endoscope to visually examine the upper digestive system. Tissue samples may be taken for analysis. For infants and children, endoscopy usually is done under general anesthesia. General anesthesia causes a sleeplike state before surgery or other medical procedures.","For most babies, making some changes to feeding eases infant reflux until it gets better on its own.",,"You may start by seeing your baby's primary healthcare team. Or you may be referred to a specialist in children's digestive diseases, called a pediatric gastroenterologist."
Hidradenitis suppurativa,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/symptoms-causes/syc-20352306,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/diagnosis-treatment/drc-20352311,https://www.mayoclinic.org/diseases-conditions/hidradenitis-suppurativa/doctors-departments/ddc-20352315,"Hidradenitis suppurativa can be mistaken for pimples or acne. For many people, it takes years to receive a correct diagnosis.
Your health care provider will base a diagnosis on your signs and symptoms, skin appearance, and medical history. You might be referred to a health care provider who specializes in skin conditions, also known as a dermatologist. Hidradenitis suppurativa can be difficult to diagnose and requires specialized care.
No laboratory test is available to diagnose hidradenitis suppurativa. But if pus or drainage is present, your health care provider might take a sample for lab testing.","Treatment with medicines, surgery or both can help control symptoms and prevent complications of hidradenitis suppurativa. Talk with your health care provider about the risks and benefits of the treatment options and how to develop an approach that's right for you.
Expect to have regular follow-up visits with your dermatologist. Some people might need the comprehensive care provided by a health care team with members from multiple medical specialties.","Hidradenitis suppurativa can be a challenge to your emotional health and well-being. Painful sores might affect your sleep, ability to move or sex life. Or the sores might drain pus with an odor, which might make you feel anxious, embarrassed, angry, self-conscious or depressed. The ongoing, persistent nature of the disease and its treatment challenges add to the burden.
Try to find support among your family and friends. The concern and understanding of other people with hidradenitis suppurativa also might be comforting. Ask for help with your mental health and coping strategies. Your health care provider can refer you to a mental health professional or provide the contact information for a support group.","You'll likely first see your primary care provider. You might then be referred to a health care provider who specializes in diagnosing and treating skin diseases, also known as a dermatologist. Depending on the severity of your condition, your care also might involve specialists in colorectal surgery, plastic surgery or gastroenterology.
Here's some information to help you get ready for your appointment."
HIV/AIDS,https://www.mayoclinic.org/diseases-conditions/hiv-aids/symptoms-causes/syc-20373524,https://www.mayoclinic.org/diseases-conditions/hiv-aids/diagnosis-treatment/drc-20373531,https://www.mayoclinic.org/diseases-conditions/hiv-aids/doctors-departments/ddc-20373532,"HIVcan be diagnosed through blood or saliva testing. Tests include:
Antigen-antibody tests.These tests most often use blood from a vein. Antigens are substances on theHIVvirus itself. They most often show up in the blood within a few weeks after being exposed toHIV.The immune system makes antibodies when it's exposed toHIV. It can take weeks to months for antibodies to show up in blood. You may not show a positive result on an antigen-antibody test until 2 to 6 weeks after exposure toHIV.
Antibody tests.These tests look for antibodies toHIVin blood or saliva. Most rapidHIVtests are antibody tests. This includes self-tests done at home. You may not show a positive result on an antibody test until 3 to 12 weeks after you've been exposed toHIV.
Nucleic acid tests (NATs).These tests look for the virus in your blood, called viral load. They use blood from a vein.If you might have been exposed toHIVwithin the past few weeks, your healthcare professional may suggestNAT.NATis the first test to become positive after exposure toHIV.
Talk with your healthcare professional about whichHIVtest is right for you. If any of these tests are negative, you may need a follow-up test weeks to months later to confirm the results.","There's no cure forHIV/AIDS. Once you have the infection, your body can't get rid of it. But there are medicines that can controlHIVand prevent complications.
Everyone diagnosed withHIVshould take antiretroviral therapy medicines, also called ART. This is true no matter what stage the disease is in or what the complications are.
ARTis usually a mix of two or more medicines from several classes. This approach has the best chance of lowering the amount ofHIVin the blood. There are manyARToptions that mix more than oneHIVmedicine into a single pill, taken once daily.
Each class of medicines blocks the virus in different ways. Treatment involves mixing medicines from different classes to:
Account for medicine resistance, called viral genotype.
Keep from creating new medicine-resistant strains ofHIV.
Suppress the virus in the blood as much as possible.
Two medicines from one class, plus a third medicine from another class, are most often used.
The classes of anti-HIVmedicines include the following:
Non-nucleoside reverse transcriptase inhibitors (NNRTIs)turn off a protein needed byHIVto make copies of itself.Examples include efavirenz, rilpivirine (Edurant) and doravirine (Pifeltro).
Nucleoside or nucleotide reverse transcriptase inhibitors (NRTIs)are faulty versions of the building blocks thatHIVneeds to make copies of itself.Examples include abacavir (Ziagen), tenofovir disoproxil fumarate (Viread), emtricitabine (Emtriva), lamivudine (Epivir) and zidovudine (Retrovir). Retrovir is no longer suggested for routine use in the U.S. because of high rates of toxic effects.Mixes of medicines also are available, such as emtricitabine-tenofovir disoproxil fumarate (Truvada) and emtricitabine-tenofovir alafenamide fumarate (Descovy).
Protease inhibitors (PIs)makeHIVprotease inactive.HIVprotease is another protein thatHIVneeds to make copies of itself.Examples include atazanavir (Reyataz), darunavir (Prezista) and lopinavir-ritonavir (Kaletra).
Integrase inhibitorsstop the action of a protein called integrase.HIVuses integrase to put its genetic material into CD4 T cells.Examples include bictegravir sodium-emtricitabine-tenofovir alafenamide fumarate (Biktarvy), raltegravir (Isentress), dolutegravir (Tivicay) and cabotegravir (Vocabria).
Entry or fusion inhibitorsblockHIV'sentry into CD4 T cells.Examples include enfuvirtide (Fuzeon) and maraviroc (Selzentry). Newer medicines include ibalizumab-uiyk (Trogarzo) and fostemsavir (Rukobia).","Getting a diagnosis of any life-threatening illness can cause distress. The emotional, social and financial effects ofHIV/AIDScan make coping with this illness very hard for you and for those close to you.
But there are many services and resources for people withHIV. MostHIV/AIDSclinics have social workers, counselors or nurses who can help you or put you in touch with people who can help you.
They may be able to:
Arrange transportation to and from medical appointments.
Help with housing and child care.
Assist with employment and legal issues.
Provide support during financial crises.
It's important to have a support system. Many people withHIV/AIDSfind that talking with someone who knows about their disease gives them comfort.","If you think you might have anHIVinfection, you're likely to start by seeing your family healthcare professional. You may be sent to an infectious disease specialist who focuses on treatingHIV/AIDS."
Acute myelogenous leukemia,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/symptoms-causes/syc-20369109,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/diagnosis-treatment/drc-20369115,https://www.mayoclinic.org/diseases-conditions/acute-myelogenous-leukemia/doctors-departments/ddc-20369117,"Acute myeloid leukemia diagnosis often begins with an exam that checks for bruising, bleeding in the mouth or gums, infection, and swollen lymph nodes. Other tests include blood and lab tests, bone marrow biopsy, lumbar puncture, and imaging.
Tests and exams to diagnose acute myelogenous leukemia, also called AML, include:","Many types of treatment exist for acute myelogenous leukemia, also called AML. Treatment depends on several factors, including the subtype of the disease, your age, your overall health, your prognosis and your preferences.
Treatment usually has two phases:
Remission induction therapy.This first phase aims to kill the leukemia cells in your blood and bone marrow. But it doesn't usually destroy all the leukemia cells. You will need further treatment to keep the disease from coming back.
Consolidation therapy.This phase also is called post-remission therapy or maintenance therapy. It aims to kill the remaining leukemia cells. Consolidation therapy is crucial to helping lower the risk of relapse.
Treatments include:
Chemotherapy.Chemotherapy treats cancer with strong medicines. Most chemotherapy medicines are given through a vein. Some come in pill form. Chemotherapy is the main type of remission induction therapy. It also may be used for consolidation therapy.
People with AML usually stay in the hospital during chemotherapy treatments because the medicines kill many healthy blood cells while destroying leukemia cells. If the first chemotherapy cycle doesn't cause remission, it can be repeated.
Side effects of chemotherapy depend on the medicines you're given. Common side effects are nausea and hair loss. Serious, long-term complications may include heart disease, lung damage, fertility problems and other cancers.
Targeted therapy.Targeted therapy for cancer is a treatment that uses medicines that attack specific chemicals in the cancer cells. By blocking these chemicals, targeted treatments can cause cancer cells to die. Your leukemia cells will be tested to see if targeted therapy may be helpful for you. Targeted therapy may be used alone or in combination with chemotherapy during induction therapy.
Bone marrow transplant.A bone marrow transplant, also called a bone marrow stem cell transplant, involves putting healthy bone marrow stem cells into the body. These cells replace cells hurt by chemotherapy and other treatments. A bone marrow stem cell transplant may be used for both remission induction and consolidation therapy.
Before a bone marrow transplant, you receive very high doses of chemotherapy or radiation therapy to destroy your leukemia-producing bone marrow. Then you receive infusions of stem cells from a compatible donor. This is called an allogeneic transplant.
There is an increased risk of infection after a transplant.
Clinical trials.Some people with leukemia choose to enroll in clinical trials to try experimental treatments or new combinations of known therapies.","Acute myelogenous leukemia is a fast-growing cancer that requires quick decision-making. The following tips and resources may help you cope:
Learn enough about acute myelogenous leukemia to make decisions about your care.The term leukemia can be confusing because it refers to a group of cancers that aren't all that alike except that they all affect the bone marrow and blood.You can waste a lot of time researching information that doesn't apply to your kind of leukemia. To avoid that, ask your doctor to write down as many details as possible about your specific disease. Then narrow your search to that disease.Look for information at your local library and on the internet. You can start your information search with the National Cancer Institute and the Leukemia & Lymphoma Society.
Lean on family, friends and others.Having a support system can help you cope. Get support from people close to you, a formal support group or others coping with cancer.
Take care of yourself.It's easy to get caught up in tests, treatments and procedures. But it's important to take care of yourself, not just the cancer. Try to make time for cooking, watching sports or other favorite activities. Get plenty of sleep, see friends, write in a journal and spend time outside if you can.
Stay active.Receiving a diagnosis of cancer doesn't mean you have to stop doing the things you enjoy. If you feel well enough to do something, do it. Check with your healthcare professional about starting any exercise program.","Make an appointment with your healthcare professional if you have symptoms that worry you. You may be referred to a doctor who specializes in blood cell diseases. This type of doctor is called a hematologist.
Appointments can be brief, and there's a lot of information to discuss. It's a good idea to be prepared. Here's some information to help you get ready:"
Guillain-Barre syndrome,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/symptoms-causes/syc-20362793,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/diagnosis-treatment/drc-20363006,https://www.mayoclinic.org/diseases-conditions/guillain-barre-syndrome/doctors-departments/ddc-20363037,"Guillain-Barre syndrome can be hard to diagnose in its earliest stages. Its symptoms are similar to those of other conditions and may vary from person to person.
Your healthcare professional starts with a medical history and thorough physical exam.
Your healthcare professional may then recommend:
Spinal tap, also known as a lumbar puncture.A small amount of fluid is withdrawn from the spinal canal in your lower back. The fluid is tested for a type of change that commonly occurs in people who have Guillain-Barre syndrome.
Electromyography.Thin-needle electrodes are inserted into the muscles to measure nerve activity.
Nerve conduction studies.Electrodes are taped to the skin above your nerves. A small shock is passed through the nerve to measure the speed of nerve signals.","There's no cure for Guillain-Barre syndrome. But two types of treatments can speed recovery and reduce symptoms:
Plasma exchange, also known as plasmapheresis.Plasma is the liquid portion of part of your blood. In a plasma exchange, plasma is removed and separated from your blood cells. The blood cells are then put back into your body, which makes more plasma to replace what was removed. Plasmapheresis may work by ridding plasma of certain antibodies that contribute to the immune system's attack on the peripheral nerves.
Immunoglobulin therapy.Immunoglobulin containing healthy antibodies from blood donors is given through a vein. High doses of immunoglobulin can block the damaging antibodies that may contribute to Guillain-Barre syndrome.
These treatments are equally effective. Mixing them or using one after the other is no more effective than using either method alone.
You are also likely to be given medicine to:
Relieve pain, which can be severe.
Prevent blood clots, which can develop if you're not mobile.
People with Guillain-Barre syndrome need physical help and therapy before and during recovery. Your care may include:
Movement of your arms and legs by caregivers before recovery, to help keep your muscles flexible and strong.
Physical therapy during recovery to help you cope with fatigue and regain strength and proper movement.
Training with adaptive devices, such as a wheelchair or braces, to give you mobility and self-care skills.","A diagnosis of Guillain-Barre syndrome can be emotionally hard. Although most people eventually recover fully, the condition is generally painful and requires hospitalization and months of rehabilitation. People with Guillain-Barre syndrome must adjust to limited mobility and fatigue.
To manage the stress of recovery from Guillain-Barre syndrome, consider these suggestions:
Maintain a strong support system of friends and family.
Contact a support group, for yourself or for family members.
Discuss your feelings and concerns with a counselor.","You may be referred to a doctor who specializes in disorders of the brain and nervous system, known as a neurologist."
Acute kidney injury,https://www.mayoclinic.org/diseases-conditions/kidney-failure/symptoms-causes/syc-20369048,https://www.mayoclinic.org/diseases-conditions/kidney-failure/diagnosis-treatment/drc-20369053,https://www.mayoclinic.org/diseases-conditions/kidney-failure/doctors-departments/ddc-20369054,"You might have the following tests to diagnose acute kidney injury:
Blood tests.A sample of your blood may show fast-rising levels of urea and creatinine. This helps show how your kidneys are working.
Urine output measures.Measuring how much urine you pass in 24 hours may help find the cause of your kidney failure.
Urine tests.A sample of your urine may show something that suggests a condition that might explain kidney failure. This is called urinalysis.
Imaging tests.Imaging tests such as ultrasound and CT scans can show your kidneys.
Removing a sample of kidney tissue for testing.Your healthcare professional may suggest removing a small sample of your kidney tissue for lab testing. This is called a biopsy. A needle put through your skin and into your kidney removes the sample.",Treatment for acute kidney injury most often means a hospital stay. Most people with acute kidney injury are already in the hospital. How long you'll stay in the hospital depends on the reason for your acute kidney injury and how quickly your kidneys recover.,,"Most people are in a hospital when they get acute kidney injury. If you aren't in the hospital and have symptoms of kidney failure, make an appointment with your family healthcare professional right away. You may be referred to a specialist in kidney disease, called a nephrologist.
Before your appointment, write down questions. Consider asking:
What's the most likely cause of my symptoms?
Have my kidneys stopped working? What could have caused my kidney failure?
What tests do I need?
What are my treatment choices, and what are the risks?
Do I need to go to the hospital?
Will my kidneys recover or will I need dialysis?
I have other health conditions. How can I best manage these conditions together?
Do I need to eat a special diet? If so, can you refer me to a dietitian to help me plan what to eat?
Do you have printed materials about acute kidney injury that I can have? What websites do you suggest?"
Acute lymphocytic leukemia,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/symptoms-causes/syc-20369077,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/diagnosis-treatment/drc-20369083,https://www.mayoclinic.org/diseases-conditions/acute-lymphocytic-leukemia/doctors-departments/ddc-20369085,"Tests and procedures used to diagnose acute lymphocytic leukemia include:
Blood tests.Blood tests may reveal too many or too few white blood cells, not enough red blood cells, and not enough platelets. A blood test may also show the presence of blast cells — immature cells normally found in the bone marrow.
Bone marrow test.During bone marrow aspiration and biopsy, a needle is used to remove a sample of bone marrow from the hipbone or breastbone. The sample is sent to a lab for testing to look for leukemia cells.Doctors in the lab will classify blood cells into specific types based on their size, shape, and other genetic or molecular features. They also look for certain changes in the cancer cells and determine whether the leukemia cells began from B lymphocytes or T lymphocytes. This information helps your doctor develop a treatment plan.
Imaging tests.Imaging tests such as an X-ray, a computerized tomography (CT) scan or an ultrasound scan may help determine whether cancer has spread to the brain and spinal cord or other parts of the body.
Spinal fluid test.A lumbar puncture test, also called a spinal tap, may be used to collect a sample of spinal fluid — the fluid that surrounds the brain and spinal cord. The sample is tested to see whether cancer cells have spread to the spinal fluid.","In general, treatment for acute lymphocytic leukemia falls into separate phases:
Induction therapy.The purpose of the first phase of treatment is to kill most of the leukemia cells in the blood and bone marrow and to restore normal blood cell production.
Consolidation therapy.Also called post-remission therapy, this phase of treatment is aimed at destroying any remaining leukemia in the body.
Maintenance therapy.The third phase of treatment prevents leukemia cells from regrowing. The treatments used in this stage are usually given at much lower doses over a long period of time, often years.
Preventive treatment to the spinal cord.During each phase of therapy, people with acute lymphocytic leukemia may receive additional treatment to kill leukemia cells located in the central nervous system. In this type of treatment, chemotherapy drugs are often injected directly into the fluid that covers the spinal cord.
Depending on your situation, the phases of treatment for acute lymphocytic leukemia can span two to three years.
Treatments may include:
Chemotherapy.Chemotherapy, which uses drugs to kill cancer cells, is typically used as an induction therapy for children and adults with acute lymphocytic leukemia. Chemotherapy drugs can also be used in the consolidation and maintenance phases.
Targeted therapy.Targeted drug treatments focus on specific abnormalities present within cancer cells. By blocking these abnormalities, targeted drug treatments can cause cancer cells to die. Your leukemia cells will be tested to see if targeted therapy may be helpful for you. Targeted therapy can be used alone or in combination with chemotherapy for induction therapy, consolidation therapy or maintenance therapy.
Radiation therapy.Radiation therapy uses high-powered beams, such as X-rays or protons, to kill cancer cells. If the cancer cells have spread to the central nervous system, your doctor may recommend radiation therapy.
Bone marrow transplant.A bone marrow transplant, also known as a stem cell transplant, may be used as consolidation therapy or for treating relapse if it occurs. This procedure allows someone with leukemia to reestablish healthy bone marrow by replacing leukemic bone marrow with leukemia-free marrow from a healthy person.A bone marrow transplant begins with high doses of chemotherapy or radiation to destroy any leukemia-producing bone marrow. The marrow is then replaced by bone marrow from a compatible donor (allogeneic transplant).
Engineering immune cells to fight leukemia.A specialized treatment called chimeric antigen receptor (CAR)-T cell therapy takes your body's germ-fighting T cells, engineers them to fight cancer and infuses them back into your body.CAR-T cell therapy might be an option for children and young adults. It might be used for consolidation therapy or for treating relapse.
Clinical trials.Clinical trials are experiments to test new cancer treatments and new ways of using existing treatments. While clinical trials give you or your child a chance to try the latest cancer treatment, the benefits and risks of the treatment may be uncertain. Discuss the benefits and risks of clinical trials with your doctor.","Treatment for acute lymphocytic leukemia can be a long road. Treatment often lasts two to three years, although the first months are the most intense.
During maintenance phases, children can usually live a relatively normal life and go back to school. And adults may be able to continue working. To help you cope, try to:
Learn enough about leukemia to feel comfortable making treatment decisions.Ask your doctor to write down as much information about your specific disease as possible. Then narrow your search for information accordingly.Write down questions you want to ask your doctor before each appointment, and look for information in your local library and on the internet. Good sources include the National Cancer Institute, the American Cancer Society, and the Leukemia & Lymphoma Society.
Lean on your whole health care team.At major medical centers and pediatric cancer centers, your health care team may include psychologists, psychiatrists, recreation therapists, child-life workers, teachers, dietitians, chaplains and social workers. These professionals can help with a whole host of issues, including explaining procedures to children, finding financial assistance and arranging for housing during treatment. Don't hesitate to rely on their expertise.
Explore programs for children with cancer.Major medical centers and nonprofit groups offer numerous activities and services specifically for children with cancer and their families. Examples include summer camps, support groups for siblings and wish-granting programs. Ask your health care team about programs in your area.
Help family and friends understand your situation.Set up a free, personalized webpage at the nonprofit website CaringBridge. This allows you to tell the whole family about appointments, treatments, setbacks and reasons to celebrate — without the stress of calling everyone every time there's something new to report.","Make an appointment with your family doctor if you or your child has signs and symptoms that worry you. If your doctor suspects acute lymphocytic leukemia, you'll likely be referred to a doctor who specializes in treating diseases and conditions of the blood and bone marrow (hematologist).
Because appointments can be brief, and because there's often a lot of information to discuss, it's a good idea to be prepared. Here's some information to help you get ready, and what to expect from the doctor."
